Business,Total_Quantity,Transaction_Frequency,Total_Value,Segment,Segment_Label
Business-965d,5,1,1265.0,0,Low Value
Business-966a,6,3,7620.0,0,Low Value
Business-966e,771,643,870206.0,1,Medium Value
Business-9695,158,119,295617.0,0,Low Value
Business-9697,3,3,2110.0,0,Low Value
Business-9699,16,14,27805.0,0,Low Value
Business-969a,14,7,15290.0,0,Low Value
Business-96bb,4,3,4070.0,0,Low Value
Business-96c3,8,6,10930.0,0,Low Value
Business-96c6,10,9,8452.0,0,Low Value
Business-96c9,8,8,12385.0,0,Low Value
Business-96d3,116,77,108238.0,0,Low Value
Business-96eb,522,323,614262.0,1,Medium Value
Business-9712,50,24,61020.0,0,Low Value
Business-9718,6,6,12195.0,0,Low Value
Business-9725,3,3,7950.0,0,Low Value
Business-9732,19,3,7480.0,0,Low Value
Business-9741,10,6,8450.0,0,Low Value
Business-9756,3,3,15015.0,0,Low Value
Business-9768,617,211,515523.0,1,Medium Value
Business-9770,459,53,105878.0,0,Low Value
Business-978c,2,1,1740.0,0,Low Value
Business-978e,13991,2614,4976687.0,2,High Value
Business-97ae,47,39,43902.0,0,Low Value
Business-97c7,5,3,4465.0,0,Low Value
Business-97cf,19,18,21240.0,0,Low Value
Business-97d2,787,233,672728.0,1,Medium Value
Business-97df,1,1,1935.0,0,Low Value
Business-97e8,3,3,4605.0,0,Low Value
Business-97e9,30,2,7815.0,0,Low Value
Business-9807,469,124,365789.0,0,Low Value
Business-9813,10,5,11853.0,0,Low Value
Business-9817,8,4,1235.0,0,Low Value
Business-9867,4,3,7400.0,0,Low Value
Business-9872,884,271,752546.0,1,Medium Value
Business-98b5,39,35,98595.0,0,Low Value
Business-98ba,2,2,520.0,0,Low Value
Business-98bc,2,2,2640.0,0,Low Value
Business-98d1,596,54,124090.0,0,Low Value
Business-98d4,500,431,755611.0,1,Medium Value
Business-98d9,1,1,1860.0,0,Low Value
Business-98de,5,5,5915.0,0,Low Value
Business-98e4,846,669,1447815.0,1,Medium Value
Business-9909,414,300,752205.0,1,Medium Value
Business-990e,2,2,1620.0,0,Low Value
Business-9911,225,150,403694.0,0,Low Value
Business-9916,1,1,760.0,0,Low Value
Business-9917,1,1,7370.0,0,Low Value
Business-9918,23,19,31885.0,0,Low Value
Business-991a,104,87,153456.0,0,Low Value
Business-9937,1,1,1540.0,0,Low Value
Business-9960,16,14,17055.0,0,Low Value
Business-996a,2216,354,819942.0,1,Medium Value
Business-9978,13,13,14920.0,0,Low Value
Business-997c,10,9,16660.0,0,Low Value
Business-9981,24,23,39395.0,0,Low Value
Business-9983,5,3,2800.0,0,Low Value
Business-998c,114,108,183032.0,0,Low Value
Business-99bb,14,13,23785.0,0,Low Value
Business-99da,12,12,25725.0,0,Low Value
Business-99e4,11,10,40757.0,0,Low Value
Business-99e9,157,68,156575.0,0,Low Value
Business-99f1,118,54,101925.0,0,Low Value
Business-99fe,18,13,32245.0,0,Low Value
Business-9a15,25,10,18075.0,0,Low Value
Business-9a2d,11,6,31285.0,0,Low Value
Business-9a59,3,3,7790.0,0,Low Value
Business-9a60,1,1,1845.0,0,Low Value
Business-9a67,37,37,64869.0,0,Low Value
Business-9a6c,2,2,2980.0,0,Low Value
Business-9a6e,1,1,1075.0,0,Low Value
Business-9a87,20,2,8500.0,0,Low Value
Business-9a8e,4,1,4270.0,0,Low Value
Business-9a8f,15,3,7850.0,0,Low Value
Business-9aa1,3,2,4430.0,0,Low Value
Business-9ab5,108,85,134986.0,0,Low Value
Business-9ac7,2,2,1475.0,0,Low Value
Business-9add,316,36,72420.0,0,Low Value
Business-9b3a,1075,481,1207809.0,1,Medium Value
Business-9b47,14,13,37755.0,0,Low Value
Business-9b4a,3,3,7170.0,0,Low Value
Business-9b7b,14,3,8170.0,0,Low Value
Business-9ba4,2,2,10320.0,0,Low Value
Business-9baf,1674,507,1226519.0,1,Medium Value
Business-9bb3,135,33,64637.0,0,Low Value
Business-9bc8,90,88,145050.0,0,Low Value
Business-9bdd,18,9,24440.0,0,Low Value
Business-9be8,1,1,1680.0,0,Low Value
Business-9be9,1,1,3970.0,0,Low Value
Business-9beb,50,3,5075.0,0,Low Value
Business-9bf9,18,18,32224.0,0,Low Value
Business-9c04,9,7,32763.0,0,Low Value
Business-9c3d,47,39,69820.0,0,Low Value
Business-9c5a,56,52,153615.0,0,Low Value
Business-9c61,13,13,43145.0,0,Low Value
Business-9caf,4,4,7330.0,0,Low Value
Business-9cb1,131,62,193026.0,0,Low Value
Business-9cb4,77,60,88220.0,0,Low Value
Business-9ccb,7,7,5885.0,0,Low Value
Business-9cdf,365,253,459514.0,1,Medium Value
Business-9ce3,34,9,38510.0,0,Low Value
Business-9cff,462,133,272296.0,0,Low Value
Business-9d04,57,56,159735.0,0,Low Value
Business-9d16,1,1,1750.0,0,Low Value
Business-9d26,25,20,45180.0,0,Low Value
Business-9d47,1,1,755.0,0,Low Value
Business-9d5f,19,15,38375.0,0,Low Value
Business-9d6e,18,8,28092.0,0,Low Value
Business-9d7c,245,152,277150.0,0,Low Value
Business-9d95,1,1,1590.0,0,Low Value
Business-9dab,23,20,24435.0,0,Low Value
Business-9daf,221,32,70251.0,0,Low Value
Business-9dd9,58,57,113590.0,0,Low Value
Business-9dfa,2,2,3605.0,0,Low Value
Business-9e08,64,53,114975.0,0,Low Value
Business-9e0c,3,3,5610.0,0,Low Value
Business-9e27,4,4,2340.0,0,Low Value
Business-9e30,86,56,207030.0,0,Low Value
Business-9e50,8,6,11715.0,0,Low Value
Business-9e5f,2,1,1670.0,0,Low Value
Business-9e71,22,21,28525.0,0,Low Value
Business-9e91,2,1,2565.0,0,Low Value
Business-9ea0,41,38,41852.0,0,Low Value
Business-9ead,12,11,20465.0,0,Low Value
Business-9ec2,5,1,1780.0,0,Low Value
Business-9ec3,11,2,3305.0,0,Low Value
Business-9ec4,54,43,93455.0,0,Low Value
Business-9ed4,9,7,21877.0,0,Low Value
Business-9edf,90,84,244985.0,0,Low Value
Business-9ee1,24,6,16275.0,0,Low Value
Business-9eec,262,227,500230.0,0,Low Value
Business-9f41,11,2,2630.0,0,Low Value
Business-9f4f,15,14,56355.0,0,Low Value
Business-9f61,2,2,3375.0,0,Low Value
Business-9f90,4,2,8600.0,0,Low Value
Business-9fa0,1,1,1300.0,0,Low Value
Business-9fa6,20,17,38093.0,0,Low Value
Business-9faf,117,114,215868.0,0,Low Value
Business-9fba,5,4,9365.0,0,Low Value
Business-9fd0,940,246,901519.0,1,Medium Value
Business-9fd1,260,48,131735.0,0,Low Value
Business-9fd8,2,2,4260.0,0,Low Value
Business-9feb,6,2,3640.0,0,Low Value
Business-9fed,36,20,31945.0,0,Low Value
Business-9ff8,59,49,64820.0,0,Low Value
Business-9ffe,2,1,1885.0,0,Low Value
Business-a002,4,4,11110.0,0,Low Value
Business-a012,11,9,24620.0,0,Low Value
Business-a02b,553,98,217370.0,0,Low Value
Business-a043,30,28,31240.0,0,Low Value
Business-a05f,12,12,24099.0,0,Low Value
Business-a061,68,8,21055.0,0,Low Value
Business-a062,56,28,107230.0,0,Low Value
Business-a078,86,80,150657.0,0,Low Value
Business-a07f,2,2,778.0,0,Low Value
Business-a085,68,36,84116.0,0,Low Value
Business-a09e,5,5,18660.0,0,Low Value
Business-a0aa,2,2,3440.0,0,Low Value
Business-a0bd,14,13,16486.0,0,Low Value
Business-a0c1,17,11,27015.0,0,Low Value
Business-a0d9,2,2,3165.0,0,Low Value
Business-a12f,3,3,2865.0,0,Low Value
Business-a132,143,63,161577.0,0,Low Value
Business-a13e,12,10,31520.0,0,Low Value
Business-a149,1,1,2180.0,0,Low Value
Business-a15a,58,39,83856.0,0,Low Value
Business-a15d,9,8,21410.0,0,Low Value
Business-a166,3,2,335.0,0,Low Value
Business-a16a,18,4,7350.0,0,Low Value
Business-a170,709,307,699058.0,1,Medium Value
Business-a171,695,429,1201609.0,1,Medium Value
Business-a172,1,1,4290.0,0,Low Value
Business-a187,321,72,143139.0,0,Low Value
Business-a18e,27,26,82520.0,0,Low Value
Business-a18f,4,4,7305.0,0,Low Value
Business-a196,262,31,64282.0,0,Low Value
Business-a197,49,40,51935.0,0,Low Value
Business-a19a,22,21,33933.0,0,Low Value
Business-a1a6,2,1,500.0,0,Low Value
Business-a1a7,443,45,100795.0,0,Low Value
Business-a1b0,16,16,34705.0,0,Low Value
Business-a1be,41,36,65870.0,0,Low Value
Business-a1db,146,129,274315.0,0,Low Value
Business-a1f1,240,170,651976.0,0,Low Value
Business-a21f,18,17,20502.0,0,Low Value
Business-a221,386,294,699502.0,1,Medium Value
Business-a223,797,120,285412.0,0,Low Value
Business-a225,12,5,8780.0,0,Low Value
Business-a22f,434,246,538942.0,1,Medium Value
Business-a24a,204,130,258387.0,0,Low Value
Business-a25b,19,7,16755.0,0,Low Value
Business-a264,125,36,70078.0,0,Low Value
Business-a282,97,74,231568.0,0,Low Value
Business-a28f,7,3,14520.0,0,Low Value
Business-a298,47,27,68100.0,0,Low Value
Business-a2a1,102,70,139793.0,0,Low Value
Business-a2ae,4,2,3640.0,0,Low Value
Business-a2b1,1,1,1380.0,0,Low Value
Business-a2ba,3,3,4850.0,0,Low Value
Business-a2c1,6,5,20801.0,0,Low Value
Business-a2cb,4,3,2310.0,0,Low Value
Business-a2d5,1,1,2350.0,0,Low Value
Business-a2d7,5,2,428.0,0,Low Value
Business-a2ef,888,32,98165.0,0,Low Value
Business-a2f8,42,7,26980.0,0,Low Value
Business-a304,3,2,3855.0,0,Low Value
Business-a324,10,9,13400.0,0,Low Value
Business-a332,2,1,4860.0,0,Low Value
Business-a334,48,45,99436.0,0,Low Value
Business-a346,10,5,17650.0,0,Low Value
Business-a353,10,5,4385.0,0,Low Value
Business-a364,5,3,6530.0,0,Low Value
Business-a391,10,7,16745.0,0,Low Value
Business-a39a,1,1,3550.0,0,Low Value
Business-a39b,4,2,6480.0,0,Low Value
Business-a3a0,21,3,7405.0,0,Low Value
